component,doc_type,title,url,source_quality
esp32-s3,datasheet,ESP32-S3 Datasheet,https://www.espressif.com/en/support/documents/technical-documents/datasheets/ESP32-S3-Datasheet.pdf,official
esp32-s3,reference_manual,ESP32-S3 Technical Reference Manual,https://www.espressif.com/sites/default/files/documentation/esp32-s3_technical_reference_manual_en.pdf,official
esp32-s3,app_note,ESP32-S3 Hardware Design Guidelines,https://documentation.espressif.com/esp-hardware-design-guidelines/en/latest/esp32s3/index.html,official
esp32-s3,reference,Adafruit ESP32-S3 Feather Learn Guide,https://learn.adafruit.com/adafruit-esp32-s3-feather/overview,official
neo-m8n,datasheet,NEO-M9N Data Sheet,https://www.u-blox.com/sites/default/files/NEO-M9N-00B_DataSheet_UBX-19014285.pdf,official
neo-m8n,product,NEO-M9N Product Page,https://www.u-blox.com/en/product/neo-m9n-module,official
max17048,datasheet,MAX17048/MAX17049 Data Sheet,https://www.analog.com/media/en/technical-documentation/data-sheets/max17048-max17049.pdf,official
max17048,product,MAX17048 Product Page,https://www.analog.com/en/products/max17048.html,official
max17048,app_note,Characterizing a Battery for Use with a Fuel Gauge,https://www.analog.com/en/resources/technical-articles/battery-gauge--maxim-integrated.html,official
max17048,reference,Adafruit ESP32-S3 Feather Learn Guide,https://learn.adafruit.com/adafruit-esp32-s3-feather/overview,official
mcp73831,product,MCP73831 Product Page,https://www.microchip.com/en-us/product/MCP73831,official
mcp73831,app_note,AN1149 Single-Cell Li-Ion Charger Design,https://www.microchip.com/en-us/application-notes/an1149,official
mcp73831,app_note,AN947 Li-Ion/Li-Poly Charging,https://www.microchip.com/en-us/application-notes/an947,official
mcp73831,reference,Adafruit ESP32-S3 Feather Learn Guide,https://learn.adafruit.com/adafruit-esp32-s3-feather/overview,official
sa818,datasheet,SA818 Download Center,https://www.nicerf.com/driver?m=driver&f=driver&driver_id=88,official
sa818,app_note,NiceRF Download Center,https://www.nicerf.com/download/,official
sgtl5000,product,SGTL5000 Product Page,https://www.nxp.com/products/audio-and-radio/audio-converters/ultra-low-power-audio-codec%3ASGTL5000,official
sgtl5000,eval_kit,SGTL5000 Evaluation Kit,https://www.nxp.com/products/audio-and-radio/audio-converters/evaluation-kit-sgtl5000-low-power-stereo-codec%3AKITSGTL5000EVBE,official
max17043,archive,MAX17043/MAX17044 Data Sheet (archived alternate),https://www.analog.com/media/en/technical-documentation/data-sheets/MAX17043-MAX17044.pdf,official
wm8960,archive,WM8960 Datasheet Mirror (archived alternate),https://www.alldatasheet.com/datasheet-pdf/pdf/628821/WOLFSON/WM8960.html,mirror
